"Anno";"Comune";"GEN";"FEB";"MAR";"APR";"MAG";"GIU";"LUG";"AGO";"SET";"OTT";"NOV";"DIC";"Somma annuale";
"2022";"Adria - Bellombra";29;35;40;44;113;77;42;69;88;81;90;50;758;
"2022";"Agna";41;36;140;82;131;87;11;56;99;94;103;39;919;
"2022";"Agordo";58;100;43;166;145;95;79;138;98;148;461;129;1660;
"2022";"Arabba";30;34;55;106;117;105;231;241;84;102;167;62;1334;
"2022";"Arcole";51;33;71;92;121;65;179;63;78;73;69;56;951;
"2022";"Astico a Pedescala";83;163;65;160;0;109;95;94;116;127;72;126;1435;
"2022";"Auronzo";55;61;27;99;138;138;125;170;128;114;127;99;1281;
"2022";"Bagnolo di Po - Pellizzare";35;22;67;49;118;64;51;39;102;72;99;38;756;
"2022";"Barbarano Vicentino";59;32;92;94;158;63;53;75;132;68;68;83;977;
"2022";"Bardolino - Calmasino";59;54;45;500;91;99;69;82;70;88;98;78;1333;
"2022";"Breganze";180;70;43;147;154;140;107;74;94;173;140;79;1401;
"2022";"Brendola";179;41;101;137;178;101;61;62;143;139;173;99;1414;
"2022";"Brustole' (Velo d'Astico)";153;129;200;173;206;111;71;142;153;124;452;136;2050;
"2022";"Buttapietra";49;28;41;96;110;109;102;82;87;64;106;82;956;
"2022";"Campodarsego";84;29;49;98;104;93;42;86;67;98;195;58;1003;
"2022";"Cansiglio - Tramedere";101;197;118;215;255;147;94;176;173;142;638;182;2438;
"2022";"Caprile";37;71;66;98;99;104;102;160;56;128;216;89;1226;
"2022";"Casamazzagno";54;51;55;101;86;126;145;136;94;123;88;76;1135;
"2022";"Castelfranco Veneto";209;27;93;91;68;123;112;53;127;111;102;76;1192;
"2022";"Castelnuovo del Garda";91;50;72;84;91;99;127;105;52;78;86;89;1024;
"2022";"Cavallino Treporti";69;70;64;80;74;57;65;59;101;85;119;33;876;
"2022";"Chioggia - Sant'Anna";29;77;126;32;122;98;115;103;76;97;114;43;1032;
"2022";"Cittadella";145;39;63;142;188;107;29;75;109;103;174;79;1253;
"2022";"Codevigo";44;40;94;67;129;70;75;67;75;76;75;39;851;
"2022";"Col Indes (Tambre)";71;77;97;239;317;157;172;236;211;206;181;154;2118;
"2022";"Concadirame (Rovigo)";43;29;45;48;76;68;44;41;62;70;46;27;599;
"2022";"Conegliano";93;44;149;96;137;118;61;139;74;181;44;104;1240;
"2022";"Cortina d'Ampezzo - Gilardon";52;42;63;107;92;107;103;138;109;105;85;94;1097;
"2022";"Costalta";69;81;34;102;117;142;139;122;108;122;148;67;1251;
"2022";"Crespadoro";198;151;61;325;149;129;111;167;124;196;69;201;1881;
"2022";"Dolce'";55;25;86;104;92;76;50;110;68;83;109;66;924;
"2022";"Domegge di Cadore";40;67;24;113;84;134;131;95;119;124;150;74;1155;
"2022";"Eraclea";53;41;31;77;96;65;59;77;96;107;160;37;899;
"2022";"Faloria";28;27;54;85;58;132;121;185;124;107;88;74;1083;
"2022";"Farra di Soligo";264;57;98;140;178;176;118;85;121;193;204;132;1766;
"2022";"Forno di Zoldo - Campo";43;54;35;165;145;103;91;111;94;142;106;130;1219;
"2022";"Fossalta di Portogruaro";147;40;204;78;116;98;98;85;111;147;160;92;1376;
"2022";"Frassinelle Polesine";34;25;40;65;151;82;69;30;55;76;92;28;747;
"2022";"Gaiarine";90;55;74;102;180;134;90;74;95;142;137;87;1260;
"2022";"Gares";45;48;83;155;163;120;149;149;100;156;228;50;1446;
"2022";"Grantorto";99;25;58;90;115;77;66;96;44;101;204;85;1060;
"2022";"Grezzana";119;29;36;78;171;114;111;73;82;101;104;85;1103;
"2022";"Illasi";134;47;57;100;133;108;137;66;69;88;85;112;1136;
"2022";"Lamon - Sala";97;55;72;145;126;132;112;241;63;114;228;134;1519;
"2022";"Legnaro";45;46;59;60;129;68;27;74;69;102;91;41;811;
"2022";"Longarone";67;30;92;186;135;135;163;130;91;186;170;126;1511;
"2022";"Lugugnana (Portogruaro)";103;68;42;85;96;68;43;71;92;115;56;83;922;
"2022";"Lusiana";135;131;87;178;174;145;104;146;103;206;118;115;1642;
"2022";"Malga Ciapela";26;47;74;136;138;174;162;246;57;141;231;88;1520;
"2022";"Malo";234;65;67;113;174;106;90;102;108;127;137;88;1411;
"2022";"Marano di Valpolicella";99;24;60;112;99;97;51;81;106;95;65;96;985;
"2022";"Maser";165;33;68;91;104;109;150;100;111;115;135;90;1271;
"2022";"Mira";41;39;65;62;54;88;49;49;79;79;121;44;770;
"2022";"Misurina";29;31;53;89;134;164;212;166;122;82;160;67;1309;
"2022";"Molini (Laghi)";120;212;226;230;189;130;76;184;121;233;81;215;2017;
"2022";"Montagnana";31;44;65;83;123;71;44;55;94;86;83;50;829;
"2022";"Monte Avena";56;44;74;154;169;144;139;172;110;133;168;80;1443;
"2022";"Montecchio Precalcino";221;80;98;131;125;77;83;87;100;151;143;105;1401;
"2022";"Montegalda";113;59;54;87;153;77;27;91;146;81;49;66;1003;
"2022";"Noventa di Piave - Grassaga";124;36;46;120;95;136;33;71;131;127;157;71;1147;
"2022";"Oderzo";87;78;96;76;123;101;61;105;99;151;75;80;1132;
"2022";"Passo Falzarego";33;89;42;126;102;140;119;172;104;129;181;103;1340;
"2022";"Passo Monte Croce Comelico";68;62;51;86;134;118;208;177;168;137;143;86;1438;
"2022";"Passo Pordoi";14;23;35;90;82;115;194;195;102;72;64;48;1034;
"2022";"Passo Santa Caterina (Valdagno)";127;99;156;193;168;157;103;80;130;159;252;213;1837;
"2022";"Passo Valles";76;34;35;109;164;113;139;182;68;131;69;98;1218;
"2022";"Pian del Crep (Val di Zoldo)";86;120;71;133;167;122;136;209;101;196;229;83;1653;
"2022";"Podestagno (Cortina d'Ampezzo)";42;42;65;147;125;116;142;161;116;144;104;119;1323;
"2022";"Portogruaro - Lison";76;35;183;101;173;78;94;75;141;136;164;106;1362;
"2022";"Porto Tolle - Pradon";32;67;54;53;100;37;21;45;74;125;130;35;773;
"2022";"Pove del Grappa - Costalunga";190;62;74;183;142;111;84;174;172;164;163;87;1606;
"2022";"Recoaro Mille";198;137;168;261;208;156;130;169;173;233;625;303;2761;
"2022";"Rifugio la Guardia (Recoaro Terme)";176;174;254;241;239;140;151;154;121;339;506;310;2805;
"2022";"Roncade";86;70;49;100;101;131;72;83;102;99;80;59;1032;
"2022";"Rosa'";192;34;76;131;146;149;97;80;79;123;183;85;1375;
"2022";"Rosolina - Po di Tramontana";24;37;58;45;186;62;122;58;64;83;90;40;869;
"2022";"Roverchiara";29;37;57;71;122;84;15;39;109;82;37;32;714;
"2022";"Salizzole";42;35;38;95;118;71;108;64;86;87;100;94;938;
"2022";"San Bellino";34;30;39;47;79;45;52;42;95;76;107;40;686;
"2022";"San Bortolo";132;71;66;306;166;130;104;71;110;173;246;181;1756;
"2022";"San Martino d'Alpago";51;59;62;188;231;228;163;176;171;197;214;147;1887;
"2022";"San Pietro in Cariano";88;19;57;71;111;159;83;88;36;92;81;78;963;
"2022";"Sant'Andrea (Gosaldo)";77;73;98;204;178;125;181;267;86;127;205;194;1815;
"2022";"Sant'Antonio Tortal";80;120;79;159;155;162;114;77;181;151;487;253;2018;
"2022";"Santo Stefano di Cadore";45;53;24;108;106;142;148;157;110;140;229;63;1325;
"2022";"Sorga'";51;27;40;92;134;110;46;44;74;76;54;35;783;
"2022";"Sospirolo";60;142;125;217;129;113;161;150;146;212;390;158;2003;
"2022";"Teolo";55;63;59;115;159;88;47;72;74;102;134;66;1034;
"2022";"Torch";56;73;69;143;111;132;185;159;118;222;299;113;1680;
"2022";"Trecenta";46;17;73;35;115;57;44;47;86;75;111;51;757;
"2022";"Turcati (Recoaro Terme)";300;150;232;195;199;126;93;143;128;235;340;307;2448;
"2022";"Valdagno";141;103;131;210;162;155;107;155;164;161;243;205;1937;
"2022";"Valdobbiadene - Bigolino";150;78;165;174;150;187;88;186;118;153;70;106;1625;
"2022";"Valli del Pasubio";88;163;205;304;200;135;123;123;146;226;239;253;2205;
"2022";"Vazzola - Tezze";87;48;52;118;101;104;116;100;134;160;145;94;1259;
"2022";"Villadose";34;40;63;38;118;85;66;50;72;72;92;60;790;
"2022";"Villafranca di Verona";93;45;129;94;84;76;48;32;54;92;96;88;931;
"2022";"Villanova (Borca di Cadore)";71;47;58;121;117;100;118;226;95;149;184;72;1358;
"2022";"Villorba";5000;34;161;103;176;108;84;91;138;154;79;96;1327;
"2022";"Volpago del Montello";180;26;84;131;94;136;112;98;127;169;115;96;1368;
"2023";"Adria - Bellombra";29;23;45;53;44;52;62;43;101;78;95;49;674;
"2023";"Agna";25;18;21;69;60;93;47;64;102;97;80;82;758;
"2023";"Agordo";59;50;74;156;103;136;152;167;134;128;202;78;1439;
"2023";"Arabba";30;33;57;92;114;144;231;135;88;104;56;81;1165;
"2023";"Arcole";41;64;24;66;66;59;22;92;125;85;130;41;815;
"2023";"Astico a Pedescala";58;76;117;210;158;108;61;118;104;188;171;109;1478;
"2023";"Auronzo";34;39;77;90;145;119;161;148;102;121;123;40;1199;
"2023";"Bagnolo di Po - Pellizzare";22;20;35;51;46;101;62;83;44;94;111;36;705;
"2023";"Barbarano Vicentino";29;26;57;109;59;87;120;51;63;93;167;67;928;
"2023";"Bardolino - Calmasino";45;34;47;91;66;36;97;184;99;85;183;107;1074;
"2023";"Breganze";76;56;63;128;135;81;65;172;141;100;324;75;1416;
"2023";"Brendola";117;45;130;98;54;27;152;87;100;125;70;160;1165;
"2023";"Brustole' (Velo d'Astico)";83;50;119;173;115;146;210;153;137;221;185;155;1747;
"2023";"Buttapietra";41;54;59;76;57;30;42;60;76;90;105;57;747;
"2023";"Campodarsego";43;47;66;65;117;78;140;60;101;125;29;44;915;
"2023";"Cansiglio - Tramedere";72;72;134;146;229;207;151;209;241;199;250;62;1972;
"2023";"Caprile";47;32;52;96;68;124;157;124;78;102;89;10000;1025;
"2023";"Casamazzagno";25;23;56;85;102;110;128;165;90;109;130;16;1039;
"2023";"Castelfranco Veneto";79;82;45;96;153;105;129;79;82;108;198;28;1184;
"2023";"Castelnuovo del Garda";47;41;86;99;76;65;57;31;53;95;119;120;889;
"2023";"Cavallino Treporti";35;50;54;46;75;119;44;95;76;73;90;89;846;
"2023";"Chioggia - Sant'Anna";37;51;31;68;53;77;42;97;103;124;32;62;777;
"2023";"Cittadella";67;52;104;97;107;96;100;119;92;93;96;59;1082;
"2023";"Codevigo";27;26;60;88;50;91;78;45;65;86;75;56;747;
"2023";"Col Indes (Tambre)";45;81;166;112;176;175;172;233;100;170;239;45;1714;
"2023";"Concadirame (Rovigo)";28;24;54;64;59;91;14;82;66;62;18;48;610;
"2023";"Conegliano";61;53;36;114;137;91;89;145;116;77;66;39;1024;
"2023";"Cortina d'Ampezzo - Gilardon";32;33;58;95;109;110;115;127;86;95;168;62;1090;
"2023";"Costalta";28;30;29;85;130;132;188;144;77;109;101;21;1074;
"2023";"Crespadoro";94;69;90;221;190;140;99;103;155;170;212;145;1688;
"2023";"Dolce'";57;58;52;74;94;60;107;100;68;115;275;126;1186;
"2023";"Domegge di Cadore";27;37;88;110;112;118;138;152;109;110;73;64;1138;
"2023";"Eraclea";43;69;89;105;44;76;33;72;49;60;53;69;762;
"2023";"Faloria";23;24;35;89;150;106;144;167;119;100;102;21;1080;
"2023";"Farra di Soligo";109;78;142;156;153;126;75;121;214;102;185;75;1536;
"2023";"Forno di Zoldo - Campo";39;55;106;159;125;135;146;137;121;154;149;45;1371;
"2023";"Fossalta di Portogruaro";78;83;40;76;84;65;159;87;134;91;191;41;1129;
"2023";"Frassinelle Polesine";33;25;46;65;41;34;103;48;59;86;74;27;641;
"2023";"Gaiarine";70;63;60;133;179;94;91;95;135;72;111;60;1163;
"2023";"Gares";37;57;105;160;123;137;119;218;133;151;189;46;1475;
"2023";"Grantorto";66;74;87;92;87;87;166;112;77;110;51;73;1082;
"2023";"Grezzana";53;45;44;83;74;97;129;127;77;89;61;93;972;
"2023";"Illasi";89;67;58;86;71;48;141;72;118;64;80;106;1000;
"2023";"Lamon - Sala";91;54;89;135;136;132;93;124;93;155;120;80;1302;
"2023";"Legnaro";32;18;38;63;84;82;86;39;44;113;135;55;789;
"2023";"Longarone";111;51;119;127;183;126;160;150;128;143;166;104;1568;
"2023";"Lugugnana (Portogruaro)";64;71;91;86;70;53;72;64;118;65;279;27;1060;
"2023";"Lusiana";76;50;102;122;134;96;120;160;154;119;177;128;1438;
"2023";"Malga Ciapela";38;37;65;99;100;181;181;157;89;126;81;70;1224;
"2023";"Malo";92;82;113;118;105;121;95;161;121;99;332;110;1549;
"2023";"Marano di Valpolicella";56;48;33;92;85;96;169;144;68;102;173;138;1204;
"2023";"Maser";66;47;128;122;183;139;119;146;144;99;223;78;1494;
"2023";"Mira";29;20;41;74;91;92;90;89;57;85;40;40;748;
"2023";"Misurina";18;24;68;101;123;128;143;149;93;97;70;12;1026;
"2023";"Molini (Laghi)";76;82;90;147;156;189;145;144;134;211;353;127;1854;
"2023";"Montagnana";29;40;64;85;51;66;18;78;85;73;60;39;688;
"2023";"Monte Avena";45;45;74;160;194;152;110;124;130;169;396;71;1670;
"2023";"Montecchio Precalcino";118;57;88;140;133;73;90;106;138;105;84;71;1203;
"2023";"Montegalda";90;55;54;107;89;46;98;87;80;98;102;50;956;
"2023";"Noventa di Piave - Grassaga";72;34;91;81;113;83;44;115;98;66;126;31;954;
"2023";"Oderzo";107;49;18;102;96;58;56;103;116;59;40;33;837;
"2023";"Passo Falzarego";47;34;89;94;115;137;127;173;106;112;101;45;1180;
"2023";"Passo Monte Croce Comelico";57;58;62;96;104;135;206;150;114;109;219;51;1361;
"2023";"Passo Pordoi";31;20;42;61;114;135;254;128;76;97;71;22;1051;
"2023";"Passo Santa Caterina (Valdagno)";89;75;83;193;134;132;61;139;141;143;252;214;1656;
"2023";"Passo Valles";108;51;35;117;109;139;192;147;119;126;68;34;1245;
"2023";"Pian del Crep (Val di Zoldo)";129;43;97;144;152;154;138;122;143;151;194;109;1576;
"2023";"Podestagno (Cortina d'Ampezzo)";40;28;90;126;111;126;142;145;63;110;162;123;1266;
"2023";"Portogruaro - Lison";64;80;33;118;71;74;59;84;77;88;76;69;893;
"2023";"Porto Tolle - Pradon";29;38;66;55;55;69;36;39;68;89;27;69;640;
"2023";"Pove del Grappa - Costalunga";85;79;78;114;134;65;88;105;119;105;220;86;1278;
"2023";"Recoaro Mille";115;83;132;235;189;165;63;117;96;226;158;195;1774;
"2023";"Rifugio la Guardia (Recoaro Terme)";116;89;155;312;152;141;116;192;129;256;469;220;2347;
"2023";"Roncade";57;65;102;73;122;59;115;75;98;85;66;61;978;
"2023";"Rosa'";61;63;85;90;107;117;74;67;113;107;126;35;1045;
"2023";"Rosolina - Po di Tramontana";31;31;34;53;34;75;17;79;172;86;75;50;737;
"2023";"Roverchiara";24;42;25;86;55;71;58;46;65;90;65;27;654;
"2023";"Salizzole";37;50;62;95;48;51;13;116;64;83;79;58;756;
"2023";"San Bellino";23;18;63;50;48;114;30;63;64;99;77;39;688;
"2023";"San Bortolo";116;61;136;132;265;81;173;124;135;117;254;177;1771;
"2023";"San Martino d'Alpago";42;63;68;161;141;176;144;221;193;144;105;94;1552;
"2023";"San Pietro in Cariano";55;42;51;100;82;44;83;135;36;82;97;86;893;
"2023";"Sant'Andrea (Gosaldo)";60;93;91;158;143;146;231;162;147;195;137;123;1686;
"2023";"Sant'Antonio Tortal";43;69;85;172;156;148;100;137;145;115;229;40;1439;
"2023";"Santo Stefano di Cadore";23;37;66;81;116;121;152;132;92;111;88;21;1040;
"2023";"Sorga'";24;58;72;96;41;54;38;126;58;87;77;52;783;
"2023";"Sospirolo";55;59;74;120;167;142;162;184;164;167;182;73;1549;
"2023";"Teolo";36;63;74;90;42;77;50;51;88;111;102;49;833;
"2023";"Torch";37;51;111;136;145;142;128;124;130;130;175;28;1337;
"2023";"Trecenta";29;28;26;51;69;61;45;70;41;110;79;24;633;
"2023";"Turcati (Recoaro Terme)";126;123;95;265;179;128;98;175;119;249;593;226;2376;
"2023";"Valdagno";115;128;107;162;123;165;130;71;121;129;152;178;1581;
"2023";"Valdobbiadene - Bigolino";104;119;39;138;159;139;109;174;141;132;98;83;1435;
"2023";"Valli del Pasubio";84;61;115;164;167;144;80;172;130;207;509;196;2029;
"2023";"Vazzola - Tezze";59;43;68;112;119;130;82;98;166;74;159;29;1139;
"2023";"Villadose";32;27;49;62;46;89;59;39;79;89;84;27;682;
"2023";"Villafranca di Verona";40;36;24;102;56;60;46;136;139;97;109;109;954;
"2023";"Villanova (Borca di Cadore)";109;34;78;119;91;137;126;154;128;115;217;71;1379;
"2023";"Villorba";100;36;32;106;116;95;114;97;96;77;73;27;969;
"2030";"Venezia";12;8;10;15;20;25;30;35;40;45;50;55;345
"2025";"Venezia";1;1;1;1;1;1;1;1;1000;1;0;0;1009
"2035";"Pesaro";12;8;10;15;20;25;30;35;40;45;50;55;345
"2025";"Pesaro";5000;8;10;15;20;25;30;35;40;45;50;55;5333
"2040";"Pesaro";12;8;0;5;20;25;30;35;40;45;50;55;325
"2040";"Pesaro";12;8;10;15;20;25;30;35;40;45;50;55;345
"2052";"Pesaro";1;1;1;1;1;1;1;1;1;1;1;1;12
"2025";"Falconara Marittima";5000;1;1;1;1;1;1;1;1;1;1;1;5011
"2029";"Pordenone";5000;458;51;15;51;51;15;15;15;15;15;51;5752
"2030";"Pordenone";5;210;521;15;15;15;51;51;15;15;15;51;979
"2050";"Pesaro";5000;0;0;0;0;0;0;0;0;0;0;0;5000
"2025";"Pesaro";50;50;50;5000;0;0;0;0;0;0;0;0;5150
